Respondent_ID,Q01_Age_Group,Q02_Gender,Q03_Region,Q04_City_Tier,Q05_Monthly_Income,Q06_Household_Size,Q07_Occupation,Q08_Purchase_Motivation_Top2,Q09_Traditional_Crafts_Owned,Q10_Gifting_Occasions,Q11_Gift_Budget_Per_Occasion,Q12_Puja_Frequency,Q13_Last_Purchase_Recency,Q14_Purchase_Frequency_12M,Q15_Historical_Spend_12M,Q16_Product_Category_Interest,Q17_Pooja_Set_Budget,Q17b_Kansa_Dinner_Set_Budget,Q_Preferred_Shopping_Channel,Q18_Top2_Reasons_Buying_Brass,Q19_Current_Buying_Source,Q20_Trust_Moradabad_1to5,Q21_Barrier_Removal_Top2,Q22_Preferred_Offer_Type,Q23_NPS_Score_1to5,Q24_Future_Annual_Spend_TARGET,Q25_Purchase_Likelihood_TARGET,Q_Open_Text_Brass_Meaning
PTMB0011,Under 18 years,Male,North India,Semi-rural area,Rs 150001-300000,7+ people (large joint family),Retired,Cultural pride|Health & wellness,Handmade pottery/terracotta|Stone craft items|Tribal or folk art,Diwali|Housewarming (Griha Pravesh),Rs 7000-15000,Every single day,Within last 1 month,0 times,Rs 0 (did not buy),"Curated Corporate Gift Sets (hampers, premium branded packaging)",Rs 4000-8000,Rs 7000-15000,Instagram/Facebook social commerce,Gifting value|Sustainability,No - do not buy brass/traditional products,4,30-day easy return/replacement/refund guarantee|Purity/authenticity certificate (NABL lab),Loyalty reward points,4.0,Rs 3001-8000,Maybe - need to see quality and pricing first,
PTMB0012,60 years and above,Male,West India,Semi-rural area,Rs 40001-75000,5-6 people (medium family),Salaried - Government/PSU,Health & wellness|Value for money,Handloom/block-printed home textiles,Corporate gifting|Diwali|Housewarming (Griha Pravesh)|Rarely or never give gifts,Rs 500-1500,Most days (5-6 days a week),6-12 months ago,3-5 times,Rs 1001-3000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)",Rs 1500-4000,Rs 1000-3000,Word of mouth/referral,Cultural and religious significance|Health and Ayurvedic benefits,"Yes - premium online brand (P-TAL, CopperStudio, Ellementry)",2,30-day easy return/replacement/refund guarantee|Low-cost trial kit/sample set,Festival cashback (15% off Diwali/Navratri/Akshaya Tritiya),3.0,Rs 1000-3000,Probably not - have trusted alternatives,
PTMB0013,45-59 years,Female,South India,Village or rural area,Rs 75001-150000,7+ people (large joint family),Freelancer/Self-employed,Cultural pride|Value for money,Handloom/block-printed home textiles|Stone craft items,Baby showers/naming ceremonies|Housewarming (Griha Pravesh),Rs 3500-7000,A few times a week,Never bought,0 times,Rs 0 (did not buy),"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Urli and Home Decor (urlis, planters, wall art, showpieces)",Rs 1500-4000,Rs 7000-15000,Wholesale/direct from artisan,Cultural and religious significance|Gifting value,Yes - directly from artisans/craft fairs,3,30-day easy return/replacement/refund guarantee|Purity/authenticity certificate (NABL lab),Buy more save more (any 3 items 20% off),5.0,Rs 20001-50000,Probably not - have trusted alternatives,I think of Diwali diyas and temple bells when I hear the word brass.
PTMB0014,25-34 years,Male,North India,Tier-2 city,Rs 20000-40000,3-4 people (small nuclear),Student,Aesthetics|Cultural pride,Antique/vintage collectibles|Silver pooja items/silverware,Birthdays and anniversaries|Housewarming (Griha Pravesh)|Navratri/Durga Puja/Pongal/regional festivals|Weddings,Rs 3500-7000,Every single day,6-12 months ago,1-2 times,Rs 1-1000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 4000-8000,Rs 1000-3000,Amazon or Flipkart,Health and Ayurvedic benefits|Sustainability,Yes - local shops/wholesale/roadside,5,"Transparency on sourcing (which artisan, which workshop)|Verified customer reviews with photos",Loyalty reward points,4.0,Under Rs 1000,Probably yes - explore and very likely purchase,It is the purest metal for puja and daily rituals in our family.
PTMB0015,25-34 years,Female,South India,Tier-2 city,Rs 75001-150000,5-6 people (medium family),Salaried - Private sector,Craft & artistry|Health & wellness,Handcrafted jewellery|Handmade pottery/terracotta|Tribal or folk art,Diwali|Weddings,Rs 500-1500,Every single day,3-6 months ago,1-2 times,Rs 1001-3000,"Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)|Curated Corporate Gift Sets (hampers, premium branded packaging)",Rs 8000-15000,Rs 7000-15000,Amazon or Flipkart,Aesthetic beauty|Gifting value,No - want to buy but no trusted brand yet,4,Purity/authenticity certificate (NABL lab)|Videos of handcrafting by Moradabad artisans,Festival cashback (15% off Diwali/Navratri/Akshaya Tritiya),5.0,Rs 1000-3000,Definitely yes - buy within first month,Brass is elegant - it elevates the aesthetic of any home instantly.
PTMB0016,25-34 years,Male,North India,Tier-3 town,Rs 75001-150000,1-2 people (nuclear),Homemaker,Sustainability|Value for money,Brass or copper items|Stone craft items,Baby showers/naming ceremonies|Corporate gifting|Diwali|Housewarming (Griha Pravesh),Rs 3500-7000,Every single day,1-3 months ago,1-2 times,More than Rs 20000,"Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 4000-8000,,Amazon or Flipkart,Cultural and religious significance|Support Indian artisans,Yes - Amazon/Flipkart (unbranded/generic),5,30-day easy return/replacement/refund guarantee|Purity/authenticity certificate (NABL lab),Custom engraving/personalisation,4.0,Under Rs 1000,Probably yes - explore and very likely purchase,It connects me to my roots and to the artisans of India.
PTMB0017,25-34 years,Male,East India,Metro city,Rs 40001-75000,1-2 people (nuclear),Salaried - Private sector,Aesthetics|Health & wellness,Brass or copper items|Silver pooja items/silverware,Navratri/Durga Puja/Pongal/regional festivals,Rs 500-1500,Most days (5-6 days a week),Never bought,0 times,Rs 0 (did not buy),"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Urli and Home Decor (urlis, planters, wall art, showpieces)",Rs 1500-4000,Rs 7000-15000,Brand website (direct online),Health and Ayurvedic benefits|Support Indian artisans,No - want to buy but no trusted brand yet,2,Low-cost trial kit/sample set|Purity/authenticity certificate (NABL lab),Bundle deal (puja set + water vessel at combined price),1.0,Rs 1000-3000,Probably yes - explore and very likely purchase,Brass reminds me of my grandmother's kitchen and feels like home.
PTMB0018,35-44 years,Female,Central India,Tier-2 city,Rs 40001-75000,3-4 people (small nuclear),Student,Aesthetics|Cultural pride,Handloom/block-printed home textiles|Stone craft items|Tribal or folk art,Baby showers/naming ceremonies|Corporate gifting,Rs 500-1500,Every single day,6-12 months ago,6-10 times,Rs 3001-8000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Curated Corporate Gift Sets (hampers, premium branded packaging)",Rs 1500-4000,Rs 1000-3000,Instagram/Facebook social commerce,Aesthetic beauty|Cultural and religious significance,No - do not buy brass/traditional products,1,Low-cost trial kit/sample set|Purity/authenticity certificate (NABL lab),No offer needed - buy when I like the product,5.0,Under Rs 1000,Definitely not - category not relevant,Brass reminds me of my grandmother's kitchen and feels like home.
PTMB0019,25-34 years,Male,North India,Tier-2 city,Rs 40001-75000,3-4 people (small nuclear),Salaried - Private sector,Cultural pride|Value for money,None,Corporate gifting|Diwali|Weddings,Rs 7000-15000,Every single day,3-6 months ago,6-10 times,Rs 1001-3000,"Brass Water Vessels (lotas, surahi-style jars, storage vessels)",Rs 1500-4000,Rs 7000-15000,Brand website (direct online),Aesthetic beauty|Cultural and religious significance,Yes - directly from artisans/craft fairs,4,30-day easy return/replacement/refund guarantee|Brass care and maintenance guide included,Loyalty reward points,5.0,Rs 3001-8000,Probably not - have trusted alternatives,It is the purest metal for puja and daily rituals in our family.
PTMB0020,25-34 years,Female,North India,Metro city,Rs 150001-300000,3-4 people (small nuclear),Salaried - Private sector,Aesthetics|Cultural pride,Antique/vintage collectibles|Silver pooja items/silverware|Stone craft items,Housewarming (Griha Pravesh),Above Rs 15000,Only on festivals,1-3 months ago,3-5 times,More than Rs 20000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)|Curated Corporate Gift Sets (hampers, premium branded packaging)",Above Rs 15000,Rs 15000-30000,Brand website (direct online),Cultural and religious significance|Support Indian artisans,Yes - directly from artisans/craft fairs,4,"Low-cost trial kit/sample set|Transparency on sourcing (which artisan, which workshop)",Festival cashback (15% off Diwali/Navratri/Akshaya Tritiya),5.0,Above Rs 50000,Probably yes - explore and very likely purchase,"I associate brass with tradition, warmth, and Indian identity."
PTMB0021,35-44 years,Non-binary / Other,West India,Tier-2 city,Rs 40001-75000,3-4 people (small nuclear),Salaried - Government/PSU,Cultural pride|Social validation,Brass or copper items,Corporate gifting|Diwali|Housewarming (Griha Pravesh)|Weddings,Rs 500-1500,A few times a week,Never bought,0 times,Rs 0 (did not buy),None of these interest me,Rs 500-1500,Rs 3000-7000,Amazon or Flipkart,Cultural and religious significance|Health and Ayurvedic benefits,Yes - directly from artisans/craft fairs,4,30-day easy return/replacement/refund guarantee|Purity/authenticity certificate (NABL lab),Early member access (limited-edition drops),2.0,Under Rs 1000,Definitely yes - buy within first month,"I associate brass with tradition, warmth, and Indian identity."
PTMB0022,18-24 years,Female,North India,Semi-rural area,Rs 150001-300000,1-2 people (nuclear),Business owner/Entrepreneur,Cultural pride|Value for money,Handmade pottery/terracotta|Woodcraft/hand-carved wooden items,Birthdays and anniversaries|Diwali,Above Rs 15000,A few times a week,6-12 months ago,1-2 times,Rs 3001-8000,"Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 8000-15000,Rs 7000-15000,Amazon or Flipkart,Gifting value|Investment and heirloom value,Yes - local shops/wholesale/roadside,4,30-day easy return/replacement/refund guarantee|Purity/authenticity certificate (NABL lab),Bundle deal (puja set + water vessel at combined price),5.0,Rs 3001-8000,Probably yes - explore and very likely purchase,I think of Diwali diyas and temple bells when I hear the word brass.
PTMB0023,25-34 years,Female,South India,Semi-rural area,Rs 75001-150000,7+ people (large joint family),Student,Health & wellness|Value for money,Handcrafted jewellery|Handloom/block-printed home textiles|Handmade pottery/terracotta,Birthdays and anniversaries|Navratri/Durga Puja/Pongal/regional festivals,Rs 1500-3500,Most days (5-6 days a week),Within last 1 month,3-5 times,Rs 1001-3000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)",Rs 500-1500,Rs 3000-7000,Amazon or Flipkart,Aesthetic beauty|Cultural and religious significance,Yes - local shops/wholesale/roadside,5,Purity/authenticity certificate (NABL lab)|Verified customer reviews with photos,Free premium gift wrapping + handwritten note,5.0,Rs 3001-8000,Maybe - need to see quality and pricing first,Brass is elegant - it elevates the aesthetic of any home instantly.
PTMB0024,25-34 years,Male,East India,Metro city,Rs 40001-75000,1-2 people (nuclear),Retired,Health & wellness|Value for money,Brass or copper items|Handcrafted jewellery|Silver pooja items/silverware|Woodcraft/hand-carved wooden items,Diwali|Navratri/Durga Puja/Pongal/regional festivals,Rs 1500-3500,Only on festivals,Within last 1 month,3-5 times,Rs 1-1000,"Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)",Rs 1500-4000,Rs 3000-7000,Brand website (direct online),Status and refined taste|Sustainability,Yes - directly from artisans/craft fairs,5,30-day easy return/replacement/refund guarantee|Verified customer reviews with photos,Custom engraving/personalisation,3.0,Under Rs 1000,Probably not - have trusted alternatives,Brass reminds me of my grandmother's kitchen and feels like home.
PTMB0025,25-34 years,Male,South India,Metro city,Rs 20000-40000,5-6 people (medium family),Business owner/Entrepreneur,Aesthetics|Craft & artistry,Brass or copper items|Handmade pottery/terracotta|Silver pooja items/silverware,Corporate gifting|Diwali|Navratri/Durga Puja/Pongal/regional festivals|Weddings,Rs 1500-3500,Most days (5-6 days a week),Never bought,0 times,Rs 0 (did not buy),"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)",Rs 1500-4000,Rs 3000-7000,YouTube/influencer recommendation,Cultural and religious significance|Sustainability,No - do not buy brass/traditional products,3,"Transparency on sourcing (which artisan, which workshop)|Verified customer reviews with photos",No offer needed - buy when I like the product,4.0,Rs 1000-3000,Probably not - have trusted alternatives,I think of Diwali diyas and temple bells when I hear the word brass.
PTMB0026,45-59 years,Male,East India,Metro city,Rs 40001-75000,3-4 people (small nuclear),Salaried - Private sector,Aesthetics|Craft & artistry,Brass or copper items|Handcrafted jewellery|Tribal or folk art|Woodcraft/hand-carved wooden items,Birthdays and anniversaries|Diwali|Weddings,Rs 1500-3500,Every single day,More than 1 year ago,6-10 times,Rs 3001-8000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)",Under Rs 500,Rs 7000-15000,YouTube/influencer recommendation,Aesthetic beauty|Cultural and religious significance,Yes - Amazon/Flipkart (unbranded/generic),4,Low-cost trial kit/sample set|Purity/authenticity certificate (NABL lab),Free premium gift wrapping + handwritten note,5.0,Under Rs 1000,Probably yes - explore and very likely purchase,"I associate brass with tradition, warmth, and Indian identity."
PTMB0027,25-34 years,Female,West India,Semi-rural area,Rs 150001-300000,7+ people (large joint family),Homemaker,Status & luxury|Sustainability,Antique/vintage collectibles|Brass or copper items|Stone craft items|Woodcraft/hand-carved wooden items,Birthdays and anniversaries|Corporate gifting|Rarely or never give gifts|Weddings,Above Rs 15000,Rarely or never,1-3 months ago,More than 10 times,Rs 8001-20000,"Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 1500-4000,Rs 15000-30000,Word of mouth/referral,Health and Ayurvedic benefits|Status and refined taste,Yes - local shops/wholesale/roadside,2,"Transparency on sourcing (which artisan, which workshop)|Verified customer reviews with photos",Early member access (limited-edition drops),1.0,Rs 20001-50000,Probably not - have trusted alternatives,
PTMB0028,35-44 years,Prefer not to say,North India,Metro city,Rs 20000-40000,7+ people (large joint family),Business owner/Entrepreneur,Aesthetics|Status & luxury,Stone craft items|Tribal or folk art|Woodcraft/hand-carved wooden items,Corporate gifting|Navratri/Durga Puja/Pongal/regional festivals,Rs 1500-3500,Every single day,6-12 months ago,3-5 times,Rs 1-1000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)",Under Rs 500,Rs 1000-3000,YouTube/influencer recommendation,Health and Ayurvedic benefits|Support Indian artisans,Yes - Amazon/Flipkart (unbranded/generic),4,Purity/authenticity certificate (NABL lab)|Verified customer reviews with photos,Festival cashback (15% off Diwali/Navratri/Akshaya Tritiya),3.0,Rs 3001-8000,Probably not - have trusted alternatives,
PTMB0029,35-44 years,Male,South India,Tier-3 town,Rs 40001-75000,5-6 people (medium family),Business owner/Entrepreneur,Aesthetics|Sustainability,Silver pooja items/silverware|Tribal or folk art,Corporate gifting|Weddings,Rs 1500-3500,Rarely or never,3-6 months ago,1-2 times,Rs 3001-8000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 1500-4000,Rs 15000-30000,Word of mouth/referral,Cultural and religious significance|Investment and heirloom value,Yes - directly from artisans/craft fairs,1,30-day easy return/replacement/refund guarantee|Verified customer reviews with photos,Bundle deal (puja set + water vessel at combined price),4.0,Under Rs 1000,Probably not - have trusted alternatives,
PTMB0030,18-24 years,Female,West India,Metro city,Rs 75001-150000,5-6 people (medium family),Salaried - Government/PSU,Craft & artistry|Status & luxury,Brass or copper items|Handcrafted jewellery|Silver pooja items/silverware,Birthdays and anniversaries|Diwali|Housewarming (Griha Pravesh)|Navratri/Durga Puja/Pongal/regional festivals,Above Rs 15000,Most days (5-6 days a week),More than 1 year ago,1-2 times,Rs 1001-3000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Curated Corporate Gift Sets (hampers, premium branded packaging)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 4000-8000,Rs 7000-15000,Brand website (direct online),Health and Ayurvedic benefits|Sustainability,"Yes - premium online brand (P-TAL, CopperStudio, Ellementry)",4,"30-day easy return/replacement/refund guarantee|Transparency on sourcing (which artisan, which workshop)",Bundle deal (puja set + water vessel at combined price),1.0,Rs 8001-20000,Probably yes - explore and very likely purchase,I think of Diwali diyas and temple bells when I hear the word brass.
PTMB0031,35-44 years,Male,South India,Tier-3 town,Rs 40001-75000,1-2 people (nuclear),Business owner/Entrepreneur,Health & wellness|Sustainability,Antique/vintage collectibles|Handmade pottery/terracotta|Woodcraft/hand-carved wooden items,Corporate gifting|Diwali|Housewarming (Griha Pravesh)|Weddings,Under Rs 500,Every single day,3-6 months ago,1-2 times,More than Rs 20000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|None of these interest me",Above Rs 15000,Rs 3000-7000,Word of mouth/referral,Aesthetic beauty|Status and refined taste,No - do not buy brass/traditional products,1,"Transparency on sourcing (which artisan, which workshop)|Videos of handcrafting by Moradabad artisans",Loyalty reward points,4.0,Rs 3001-8000,Probably not - have trusted alternatives,It connects me to my roots and to the artisans of India.
PTMB0032,18-24 years,Female,North India,Tier-2 city,Rs 75001-150000,7+ people (large joint family),Salaried - Government/PSU,Aesthetics|Cultural pride,Antique/vintage collectibles|Tribal or folk art,Corporate gifting|Navratri/Durga Puja/Pongal/regional festivals,Rs 3500-7000,Only on festivals,3-6 months ago,1-2 times,Rs 1001-3000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 1500-4000,Rs 15000-30000,Local retail store,Investment and heirloom value|Sustainability,Yes - directly from artisans/craft fairs,5,30-day easy return/replacement/refund guarantee|Videos of handcrafting by Moradabad artisans,Festival cashback (15% off Diwali/Navratri/Akshaya Tritiya),2.0,Rs 3001-8000,Maybe - need to see quality and pricing first,"I associate brass with tradition, warmth, and Indian identity."
PTMB0033,18-24 years,Female,North India,Semi-rural area,Rs 20000-40000,7+ people (large joint family),Homemaker,Cultural pride|Health & wellness,Handcrafted jewellery|Stone craft items,Baby showers/naming ceremonies|Birthdays and anniversaries,Rs 1500-3500,Every single day,1-3 months ago,1-2 times,Rs 1001-3000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|None of these interest me",Under Rs 500,Rs 1000-3000,Amazon or Flipkart,Cultural and religious significance|Health and Ayurvedic benefits,No - do not buy brass/traditional products,2,30-day easy return/replacement/refund guarantee|Verified customer reviews with photos,Bundle deal (puja set + water vessel at combined price),4.0,Under Rs 1000,Probably not - have trusted alternatives,"Premium, durable, and eco-friendly - brass is the future kitchen material."
